Sample_Number,Sample ID,L_Tron,T_Ment,T_Ment#,Week,Date (DD-MM-YYYY),Time (24:00),Nutrient sampled,Well-plate,Depth,Equipment Used,Sample Vol (mL),Who? (Initials) ,Notes
161,161 - SRP/NH4/NO3/NO2,4,Heat,1,6,15-08-2023,14:15,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
162,162 - Particulate C/N/P,4,Heat,1,6,15-08-2023,14:15,Particulate C/N/P,G2,Integrated,Zoop Tube,400,HC/AS,
163,163 - TP/TN,5,Control,2,6,15-08-2023,14:30,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
164,164 - SRP/NH4/NO3/NO2,5,Control,2,6,15-08-2023,14:30,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
165,165 - Particulate C/N/P,5,Control,2,6,15-08-2023,14:30,Particulate C/N/P,G3,Integrated,Zoop Tube,400,HC/AS,
166,166 - TP/TN,6,Salt,2,6,15-08-2023,15:00,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
167,167 - SRP/NH4/NO3/NO2,6,Salt,2,6,15-08-2023,15:00,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
168,168 - Particulate C/N/P,6,Salt,2,6,15-08-2023,15:00,Particulate C/N/P,G4,Integrated,Zoop Tube,400,HC/AS,
169,169 - TP/TN,7,Heat,2,6,15-08-2023,15:15,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
170,170 - SRP/NH4/NO3/NO2,7,Heat,2,6,15-08-2023,15:15,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
171,171 - Particulate C/N/P,7,Heat,2,6,15-08-2023,15:15,Particulate C/N/P,G5,Integrated,Zoop Tube,400,HC/AS,
172,172 - TP/TN,8,Control,3,6,15-08-2023,15:20,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
173,173 - SRP/NH4/NO3/NO2,8,Control,3,6,15-08-2023,15:20,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
174,174 - Particulate C/N/P,8,Control,3,6,15-08-2023,15:20,Particulate C/N/P,G6,Integrated,Zoop Tube,400,HC/AS,
175,175 - TP/TN,9,Salt + Heat,2,6,15-08-2023,15:40,TP/TN,,Integrated,Zoop Tube,15,HC/AS,
176,176 - SRP/NH4/NO3/NO2,9,Salt + Heat,2,6,15-08-2023,15:40,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,
177,177 - Particulate C/N/P,9,Salt + Heat,2,6,15-08-2023,15:40,Particulate C/N/P,G7,Integrated,Zoop Tube,400,HC/AS,
178,178 - Blank TP/TN,na,Blank,na,6,15-08-2023,16:00,TP/TN,,Integrated,Zoop Tube,15,HC/AS,DI Water
179,179 - Blank SRP/NH4/NO3/NO2,na,Blank,na,6,15-08-2023,16:00,SRP/NH4/NO3/NO2,,Integrated,Zoop Tube,15,HC/AS,DI Water
180,180 - Particulate C/N/P,na,Blank,na,6,15-08-2023,16:00,Particulate C/N/P,G8,Integrated,Zoop Tube,400,HC/AS,
